registry_id,f0_source,canonical_field,entity,source_system,source_table,source_variable,source_role,variable_role,provenance_class,observation_status_policy,derived_from,temporal_class,event_scope,available_from,allowed_modules,allowed_use,forbidden_use,runtime_core_input_policy,leakage_risk,no_future_status,fit_role,validation_role,notes
D053,F0.3f,trip.source_imputed_main_mode,TripModeObservation,MiD2017_B1_v1.1,Wege,hvm_imp,IMPUTED_OBSERVATION,IMPUTED_OUTCOME,SOURCE_IMPUTED_BEHAVIOR,,MiD imputation of missing main mode,SOURCE_MODE_OUTCOME_IMPUTED,TRIP,M0_INGESTION,M0;M5_FIT_SENSITIVITY;M7,coarse sensitivity/comparability only,strict mode-choice label; same-trip runtime predictor,NEVER,HIGH_MODE_LEAKAGE,PASS_WITH_GUARD,MODE_LABEL_IMPUTED_SENSITIVITY,AVAILABLE,
D054,F0.3f,trip.source_mode_combination,TripModeObservation,MiD2017_B1_v1.1,Wege,vm_kombi,DIAGNOSTIC,DIAGNOSTIC,SOURCE_DERIVED_BEHAVIOR,,,SOURCE_MODE_OUTCOME_DERIVED,TRIP,M0_INGESTION,M0;M7,aggregate intermodality diagnostic,stage sequence reconstruction; M2-M5 runtime input,NEVER,HIGH_MODE_LEAKAGE,DIAGNOSTIC_ONLY,VALIDATION_ONLY,AVAILABLE,
D055,F0.3f,trip.core4_validation_projection,TripModeObservation,MiD2017_B1_v1.1,EDG M7 projection,hvm_diff2,DERIVED_OBSERVATION,VALIDATION_PROJECTION,EDG_VALIDATION_PROJECTION,,trip.source_main_mode_detailed via EDG_CORE4_STRICT_V1,SOURCE_MODE_OUTCOME_DERIVED,TRIP,M0_INGESTION,M5_FIT_LABEL;M7,strict observed outcome label WALK/BIKE/MIT/PT for fitting/evaluation,overwrite raw mode taxonomy; runtime input; promote out-of-core service into core,NEVER,HIGH_MODE_LEAKAGE,PASS_WITH_GUARD,MODE_LABEL_STRICT,AVAILABLE,E-bike→BIKE only for validation projection; out-of-core modes remain out-of-core.
D056,F0.3f,trip.stage_observation_status,TripModeObservation,MiD2017_B1_v1.1,Wege,anzetap,OBSERVATION,QUALITY,OBSERVED,1..7 observed;107/202/210/701/703/904/905 qualified,,QUALITY_DERIVED,TRIP,M0_INGESTION,M0;M4_DESIGN;M7,identify whether stages were observed and why not,behavioral feature,FIT_SELECTION_ONLY,HIGH_REPRESENTATIVENESS,PASS_WITH_GUARD,STAGE_COVERAGE_DIAGNOSTIC,AVAILABLE,
D057,F0.3f,stage.stage_id,StageObservation,MiD2017_B1_v1.1,Etappen,ET_ID,OBSERVATION,IDENTITY,OBSERVED,,,SOURCE_STAGE_OUTCOME,STAGE,M0_INGESTION,M0;M4_DESIGN;D_REPLAY;M7,order stages within observed trip,behavioral feature; representative stage-frequency inference,D_REPLAY_ONLY,HIGH_REPRESENTATIVENESS,PASS_WITH_GUARD,STAGE_STRUCTURAL_DIAGNOSTIC,AVAILABLE,
D058,F0.3f,stage.stage_mode_atom,StageObservation,MiD2017_B1_v1.1,Etappen,ET_VM,OBSERVATION,OBSERVED,OBSERVED_NONREPRESENTATIVE,,,SOURCE_STAGE_OUTCOME,STAGE,M0_INGESTION,M0;M4_DESIGN;D_REPLAY;M7,structural/sanity evidence for stage-mode semantics,representative Berlin stage-mode distribution; runtime generated stage sequence,D_REPLAY_ONLY,HIGH_REPRESENTATIVENESS,DIAGNOSTIC_ONLY,STAGE_DIAGNOSTIC_ONLY,SANITY_CHECK,
D059,F0.3f,stage.stage_distance_km,StageObservation,MiD2017_B1_v1.1,Etappen,ET_KM,OBSERVATION,OBSERVED,OBSERVED_NONREPRESENTATIVE,0.01..1000 substantive; quality codes preserved,,SOURCE_STAGE_OUTCOME,STAGE,M0_INGESTION,M0;M4_DESIGN;D_REPLAY;M7,structural/sanity evidence when observed,representative stage-distance calibration,D_REPLAY_ONLY,HIGH_REPRESENTATIVENESS,DIAGNOSTIC_ONLY,STAGE_DIAGNOSTIC_ONLY,SANITY_CHECK,
D060,F0.3f,stage.stage_duration_min,StageObservation,MiD2017_B1_v1.1,Etappen,ET_MIN,OBSERVATION,OBSERVED,OBSERVED_NONREPRESENTATIVE,1..480 substantive; quality codes preserved,,SOURCE_STAGE_OUTCOME,STAGE,M0_INGESTION,M0;M4_DESIGN;D_REPLAY;M7,structural/sanity evidence when observed,representative stage-duration calibration,D_REPLAY_ONLY,HIGH_REPRESENTATIVENESS,DIAGNOSTIC_ONLY,STAGE_DIAGNOSTIC_ONLY,SANITY_CHECK,
D061,F0.3f,stage.stage_core4_validation_projection,StageObservation,MiD2017_B1_v1.1,EDG M7 projection,ET_VM,DERIVED_OBSERVATION,VALIDATION_PROJECTION,EDG_VALIDATION_PROJECTION_NONREPRESENTATIVE,,stage.stage_mode_atom,SOURCE_STAGE_OUTCOME_DERIVED,STAGE,M0_INGESTION,M4_DESIGN;M7,structural/sanity projection only,representative stage gate; runtime stage generation,NEVER,HIGH_REPRESENTATIVENESS,DIAGNOSTIC_ONLY,STAGE_DIAGNOSTIC_ONLY,SANITY_CHECK,
D062,F0.3f,stage.evidence_role,StageObservation,MiD2017_B1_v1.1,MiD documentation,Etappen module design,PROVENANCE,PROVENANCE,DOCUMENTED_SAMPLE_LIMITATION,,MiD Etappen module design,SOURCE_PROVENANCE,STAGE,M0_INGESTION,M0;M4_DESIGN;M7,enforce DIAGNOSTIC_ONLY_NONREPRESENTATIVE,promote Etappen to representative empirical gate,NEVER,HIGH_REPRESENTATIVENESS,PASS_WITH_GUARD,PROVENANCE_GUARD,AVAILABLE,MiD stage weights do not correct the module's regional/temporal disproportionality.
D063,F0.3f,trip.source_trip_weight,TripObservation,MiD2017_B1_v1.1,Wege,W_GEW,PROVENANCE,PROVENANCE,OBSERVED,,,SOURCE_PROVENANCE,TRIP,M0_INGESTION,M0;M2_FIT;M3_FIT;M5_FIT_LABEL;M7,weighted estimation/diagnostics,behavioral predictor or utility term,NEVER,MEDIUM_METHOD,PASS_WITH_GUARD,WEIGHT_ONLY,AVAILABLE,
D064,F0.3f,stage.source_stage_weight,StageObservation,MiD2017_B1_v1.1,Etappen,ET_GEW,PROVENANCE,PROVENANCE,OBSERVED_NONREPRESENTATIVE,,,SOURCE_PROVENANCE,STAGE,M0_INGESTION,M0;M7,source-provided stage weight with documented limitation,claim representative Berlin stage distribution or empirical gate,NEVER,HIGH_REPRESENTATIVENESS,PASS_WITH_GUARD,WEIGHT_DIAGNOSTIC_ONLY,SANITY_CHECK,
